transaction_id,member_id,branch,transaction_date,transaction_type,amount_kes,balance_after_kes,notes
SAV000214,MEM0009,Kisumu,2024-06-01,Deposit,2080.0,35240.0,Monthly contribution
SAV000215,MEM0009,Kisumu,2024-07-05,Deposit,2010.0,37250.0,Monthly contribution
SAV000216,MEM0009,Kisumu,2024-08-06,Deposit,2070.0,39320.0,Monthly contribution
SAV000217,MEM0009,Kisumu,2024-09-02,Deposit,2090.0,41410.0,Monthly contribution
SAV000218,MEM0009,Kisumu,2024-10-01,Deposit,1950.0,43360.0,Monthly contribution
SAV000219,MEM0009,Kisumu,2024-11-03,Deposit,2180.0,45540.0,Monthly contribution
SAV000220,MEM0009,Kisumu,2024-12-06,Deposit,2050.0,47590.0,Monthly contribution
SAV000221,MEM0010,Kisumu,2023-01-03,Deposit,2090.0,2090.0,Monthly contribution
SAV000222,MEM0010,Kisumu,2023-02-06,Deposit,2000.0,4090.0,Monthly contribution
SAV000223,MEM0010,Kisumu,2023-03-04,Deposit,1960.0,6050.0,Monthly contribution
SAV000224,MEM0010,Kisumu,2023-04-05,Deposit,2080.0,8130.0,Monthly contribution
SAV000225,MEM0010,Kisumu,2023-05-04,Deposit,1850.0,9980.0,Monthly contribution
SAV000226,MEM0010,Kisumu,2023-06-04,Deposit,2070.0,12050.0,Monthly contribution
SAV000227,MEM0010,Kisumu,2023-07-02,Deposit,2070.0,14120.0,Monthly contribution
SAV000228,MEM0010,Kisumu,2023-08-03,Deposit,2050.0,16170.0,Monthly contribution
SAV000229,MEM0010,Kisumu,2023-09-01,Deposit,1960.0,18130.0,Monthly contribution
SAV000230,MEM0010,Kisumu,2023-10-02,Deposit,1920.0,20050.0,Monthly contribution
SAV000231,MEM0010,Kisumu,2023-11-05,Deposit,1970.0,22020.0,Monthly contribution
SAV000232,MEM0010,Kisumu,2023-12-03,Deposit,2040.0,24060.0,Monthly contribution
SAV000233,MEM0010,Kisumu,2024-01-04,Deposit,1990.0,26050.0,Monthly contribution
SAV000234,MEM0010,Kisumu,2024-02-05,Deposit,2070.0,28120.0,Monthly contribution
SAV000245,MEM0010,Kisumu,2024-02-29,Withdrawal,-25000.0,3120.0,Member withdrawal request
SAV000235,MEM0010,Kisumu,2024-03-06,Deposit,1990.0,5110.0,Monthly contribution
SAV000236,MEM0010,Kisumu,2024-04-01,Deposit,1870.0,6980.0,Monthly contribution
SAV000237,MEM0010,Kisumu,2024-05-06,Deposit,1910.0,8890.0,Monthly contribution
SAV000238,MEM0010,Kisumu,2024-06-03,Deposit,2050.0,10940.0,Monthly contribution
SAV000239,MEM0010,Kisumu,2024-07-02,Deposit,1840.0,12780.0,Monthly contribution
SAV000240,MEM0010,Kisumu,2024-08-02,Deposit,2070.0,14850.0,Monthly contribution
SAV000241,MEM0010,Kisumu,2024-09-02,Deposit,2120.0,16970.0,Monthly contribution
SAV000242,MEM0010,Kisumu,2024-10-02,Deposit,1810.0,18780.0,Monthly contribution
SAV000243,MEM0010,Kisumu,2024-11-05,Deposit,2190.0,20970.0,Monthly contribution
SAV000244,MEM0010,Kisumu,2024-12-01,Deposit,2140.0,23110.0,Monthly contribution
SAV000246,MEM0011,Nairobi,2023-01-04,Deposit,520.0,520.0,Monthly contribution
SAV000247,MEM0011,Nairobi,2023-02-02,Deposit,500.0,1020.0,Monthly contribution
SAV000248,MEM0011,Nairobi,2023-03-06,Deposit,460.0,1480.0,Monthly contribution
SAV000249,MEM0011,Nairobi,2023-04-01,Deposit,450.0,1930.0,Monthly contribution
SAV000250,MEM0011,Nairobi,2023-05-02,Deposit,530.0,2460.0,Monthly contribution
SAV000251,MEM0011,Nairobi,2023-06-06,Deposit,470.0,2930.0,Monthly contribution
SAV000252,MEM0011,Nairobi,2023-07-01,Deposit,500.0,3430.0,Monthly contribution
SAV000253,MEM0011,Nairobi,2023-08-01,Deposit,510.0,3940.0,Monthly contribution
SAV000254,MEM0011,Nairobi,2023-09-04,Deposit,500.0,4440.0,Monthly contribution
SAV000255,MEM0011,Nairobi,2023-10-05,Deposit,520.0,4960.0,Monthly contribution
SAV000256,MEM0011,Nairobi,2023-11-04,Deposit,510.0,5470.0,Monthly contribution
SAV000257,MEM0011,Nairobi,2023-12-06,Deposit,510.0,5980.0,Monthly contribution
SAV000258,MEM0011,Nairobi,2024-01-04,Deposit,540.0,6520.0,Monthly contribution
SAV000259,MEM0012,Nakuru,2023-01-05,Deposit,5330.0,5330.0,Monthly contribution
SAV000260,MEM0012,Nakuru,2023-02-02,Deposit,4950.0,10280.0,Monthly contribution
SAV000261,MEM0012,Nakuru,2023-03-04,Deposit,5240.0,15520.0,Monthly contribution
SAV000262,MEM0012,Nakuru,2023-04-02,Deposit,4950.0,20470.0,Monthly contribution
SAV000263,MEM0012,Nakuru,2023-05-03,Deposit,5340.0,25810.0,Monthly contribution
SAV000264,MEM0012,Nakuru,2023-06-05,Deposit,5270.0,31080.0,Monthly contribution
SAV000265,MEM0012,Nakuru,2023-07-02,Deposit,4980.0,36060.0,Monthly contribution
SAV000266,MEM0012,Nakuru,2023-08-01,Deposit,4770.0,40830.0,Monthly contribution
SAV000267,MEM0012,Nakuru,2023-09-02,Deposit,5210.0,46040.0,Monthly contribution
SAV000268,MEM0012,Nakuru,2023-10-03,Deposit,4770.0,50810.0,Monthly contribution
SAV000269,MEM0012,Nakuru,2023-11-01,Deposit,5390.0,56200.0,Monthly contribution
SAV000270,MEM0012,Nakuru,2023-12-02,Deposit,4640.0,60840.0,Monthly contribution
SAV000271,MEM0012,Nakuru,2024-01-02,Deposit,4880.0,65720.0,Monthly contribution
SAV000272,MEM0012,Nakuru,2024-02-01,Deposit,5210.0,70930.0,Monthly contribution
SAV000273,MEM0012,Nakuru,2024-03-03,Deposit,4910.0,75840.0,Monthly contribution
SAV000274,MEM0012,Nakuru,2024-04-04,Deposit,5040.0,80880.0,Monthly contribution
SAV000275,MEM0012,Nakuru,2024-05-04,Deposit,4560.0,85440.0,Monthly contribution
SAV000284,MEM0012,Nakuru,2024-05-14,Withdrawal,-10000.0,75440.0,Member withdrawal request
SAV000276,MEM0012,Nakuru,2024-06-05,Deposit,4890.0,80330.0,Monthly contribution
SAV000277,MEM0012,Nakuru,2024-07-01,Deposit,5450.0,85780.0,Monthly contribution
SAV000278,MEM0012,Nakuru,2024-08-05,Deposit,5360.0,91140.0,Monthly contribution
SAV000279,MEM0012,Nakuru,2024-09-01,Deposit,4880.0,96020.0,Monthly contribution
SAV000283,MEM0012,Nakuru,2024-09-09,Withdrawal,-10000.0,86020.0,Member withdrawal request
SAV000280,MEM0012,Nakuru,2024-10-03,Deposit,5440.0,91460.0,Monthly contribution
SAV000281,MEM0012,Nakuru,2024-11-04,Deposit,5250.0,96710.0,Monthly contribution
SAV000282,MEM0012,Nakuru,2024-12-06,Deposit,5040.0,101750.0,Monthly contribution
SAV000285,MEM0013,Nakuru,2023-01-04,Deposit,2390.0,2390.0,Monthly contribution
SAV000286,MEM0013,Nakuru,2023-02-03,Deposit,2260.0,4650.0,Monthly contribution
SAV000287,MEM0013,Nakuru,2023-03-04,Deposit,2580.0,7230.0,Monthly contribution
SAV000288,MEM0013,Nakuru,2023-04-04,Deposit,2610.0,9840.0,Monthly contribution
SAV000289,MEM0013,Nakuru,2023-05-05,Deposit,2710.0,12550.0,Monthly contribution
SAV000290,MEM0013,Nakuru,2023-06-04,Deposit,2520.0,15070.0,Monthly contribution
