payment_id,loan_id,member_id,branch,due_date,payment_date,installment_due_kes,amount_paid_kes,days_late,payment_status
PAY0000017,LN00003,MEM0001,Nakuru,2024-10-10,2024-10-27,6289.69,6289.69,17,Late Payment
PAY0000018,LN00003,MEM0001,Nakuru,2024-11-10,2024-11-12,6289.69,6289.69,2,Paid on Time
PAY0000019,LN00003,MEM0001,Nakuru,2024-12-10,2024-12-13,6289.69,6289.69,3,Paid on Time
PAY0000020,LN00004,MEM0002,Nairobi,2024-05-24,2024-05-27,111980.69,111980.69,3,Paid on Time
PAY0000021,LN00004,MEM0002,Nairobi,2024-06-24,2024-06-25,111980.69,111980.69,1,Paid on Time
PAY0000022,LN00004,MEM0002,Nairobi,2024-07-24,2024-07-27,111980.69,111980.69,3,Paid on Time
PAY0000023,LN00004,MEM0002,Nairobi,2024-08-24,2024-08-29,111980.69,111980.69,5,Paid on Time
PAY0000024,LN00004,MEM0002,Nairobi,2024-09-24,2024-09-28,111980.69,111980.69,4,Paid on Time
PAY0000025,LN00004,MEM0002,Nairobi,2024-10-24,2024-10-28,111980.69,111980.69,4,Paid on Time
PAY0000026,LN00004,MEM0002,Nairobi,2024-11-24,2024-11-24,111980.69,111980.69,0,Paid on Time
PAY0000027,LN00004,MEM0002,Nairobi,2024-12-24,2024-12-26,111980.69,111980.69,2,Paid on Time
PAY0000028,LN00005,MEM0003,Mombasa,2024-06-17,2024-06-18,9427.65,9427.65,1,Paid on Time
PAY0000029,LN00005,MEM0003,Mombasa,2024-07-17,2024-07-18,9427.65,9427.65,1,Paid on Time
PAY0000030,LN00005,MEM0003,Mombasa,2024-08-17,2024-08-20,9427.65,9427.65,3,Paid on Time
PAY0000031,LN00005,MEM0003,Mombasa,2024-09-17,2024-09-22,9427.65,9427.65,5,Paid on Time
PAY0000032,LN00005,MEM0003,Mombasa,2024-10-17,2024-10-20,9427.65,9427.65,3,Paid on Time
PAY0000033,LN00005,MEM0003,Mombasa,2024-11-17,2024-11-20,9427.65,9427.65,3,Paid on Time
PAY0000034,LN00005,MEM0003,Mombasa,2024-12-17,2024-12-20,9427.65,9427.65,3,Paid on Time
PAY0000035,LN00006,MEM0003,Mombasa,2023-09-28,2023-09-30,49947.7,49947.7,2,Paid on Time
PAY0000036,LN00006,MEM0003,Mombasa,2023-10-28,2023-10-30,49947.7,49947.7,2,Paid on Time
PAY0000037,LN00006,MEM0003,Mombasa,2023-11-28,2023-11-30,49947.7,49947.7,2,Paid on Time
PAY0000038,LN00006,MEM0003,Mombasa,2023-12-28,2023-12-29,49947.7,49947.7,1,Paid on Time
PAY0000039,LN00006,MEM0003,Mombasa,2024-01-28,2024-01-29,49947.7,49947.7,1,Paid on Time
PAY0000040,LN00006,MEM0003,Mombasa,2024-02-28,2024-03-01,49947.7,49947.7,2,Paid on Time
PAY0000041,LN00008,MEM0004,Nairobi,2024-06-01,2024-06-03,3109.71,3109.71,2,Paid on Time
PAY0000042,LN00008,MEM0004,Nairobi,2024-07-01,2024-07-04,3109.71,3109.71,3,Paid on Time
PAY0000043,LN00008,MEM0004,Nairobi,2024-08-01,2024-08-01,3109.71,3109.71,0,Paid on Time
PAY0000044,LN00008,MEM0004,Nairobi,2024-09-01,2024-09-04,3109.71,3109.71,3,Paid on Time
PAY0000045,LN00008,MEM0004,Nairobi,2024-10-01,2024-10-04,3109.71,3109.71,3,Paid on Time
PAY0000046,LN00008,MEM0004,Nairobi,2024-11-01,2024-11-06,3109.71,3109.71,5,Paid on Time
PAY0000047,LN00008,MEM0004,Nairobi,2024-12-01,2024-12-04,3109.71,3109.71,3,Paid on Time
PAY0000048,LN00009,MEM0005,Nakuru,2023-03-20,2023-03-21,1887.18,1887.18,1,Paid on Time
PAY0000049,LN00009,MEM0005,Nakuru,2023-04-20,2023-04-24,1887.18,1887.18,4,Paid on Time
PAY0000050,LN00009,MEM0005,Nakuru,2023-05-20,2023-05-27,1887.18,1887.18,7,Late Payment
PAY0000051,LN00009,MEM0005,Nakuru,2023-06-20,2023-06-23,1887.18,1887.18,3,Paid on Time
PAY0000052,LN00009,MEM0005,Nakuru,2023-07-20,2023-07-24,1887.18,1887.18,4,Paid on Time
PAY0000053,LN00009,MEM0005,Nakuru,2023-08-20,2023-08-23,1887.18,1887.18,3,Paid on Time
PAY0000054,LN00010,MEM0005,Nakuru,2024-09-01,2024-10-13,12994.42,11486.12,42,Late Payment
PAY0000055,LN00010,MEM0005,Nakuru,2024-10-01,2024-11-20,12994.42,11151.95,50,Late Payment
PAY0000056,LN00010,MEM0005,Nakuru,2024-11-01,2024-12-28,12994.42,9744.15,57,Late Payment
PAY0000057,LN00010,MEM0005,Nakuru,2024-12-01,2025-01-13,12994.42,8282.32,43,Late Payment
PAY0000058,LN00011,MEM0006,Kisumu,2023-08-04,2023-08-05,21010.19,21010.19,1,Paid on Time
PAY0000059,LN00011,MEM0006,Kisumu,2023-09-04,2023-09-09,21010.19,21010.19,5,Paid on Time
PAY0000060,LN00011,MEM0006,Kisumu,2023-10-04,2023-10-09,21010.19,21010.19,5,Paid on Time
PAY0000061,LN00011,MEM0006,Kisumu,2023-11-04,2023-11-05,21010.19,21010.19,1,Paid on Time
PAY0000062,LN00011,MEM0006,Kisumu,2023-12-04,2023-12-07,21010.19,21010.19,3,Paid on Time
PAY0000063,LN00011,MEM0006,Kisumu,2024-01-04,2024-01-07,21010.19,21010.19,3,Paid on Time
PAY0000064,LN00011,MEM0006,Kisumu,2024-02-04,2024-02-07,21010.19,21010.19,3,Paid on Time
PAY0000065,LN00011,MEM0006,Kisumu,2024-03-04,2024-03-08,21010.19,21010.19,4,Paid on Time
PAY0000066,LN00011,MEM0006,Kisumu,2024-04-04,2024-04-11,21010.19,21010.19,7,Late Payment
PAY0000067,LN00011,MEM0006,Kisumu,2024-05-04,2024-05-04,21010.19,21010.19,0,Paid on Time
PAY0000068,LN00011,MEM0006,Kisumu,2024-06-04,2024-06-05,21010.19,21010.19,1,Paid on Time
PAY0000069,LN00011,MEM0006,Kisumu,2024-07-04,2024-07-04,21010.19,21010.19,0,Paid on Time
PAY0000070,LN00012,MEM0007,Nairobi,2023-07-15,2023-07-16,1008.48,1008.48,1,Paid on Time
PAY0000071,LN00012,MEM0007,Nairobi,2023-08-15,2023-08-17,1008.48,1008.48,2,Paid on Time
PAY0000072,LN00012,MEM0007,Nairobi,2023-09-15,2023-09-16,1008.48,1008.48,1,Paid on Time
PAY0000073,LN00012,MEM0007,Nairobi,2023-10-15,2023-10-17,1008.48,1008.48,2,Paid on Time
PAY0000074,LN00012,MEM0007,Nairobi,2023-11-15,2023-11-18,1008.48,1008.48,3,Paid on Time
PAY0000075,LN00012,MEM0007,Nairobi,2023-12-15,2023-12-16,1008.48,1008.48,1,Paid on Time
PAY0000076,LN00012,MEM0007,Nairobi,2024-01-15,2024-01-16,1008.48,1008.48,1,Paid on Time
PAY0000077,LN00012,MEM0007,Nairobi,2024-02-15,2024-02-20,1008.48,1008.48,5,Paid on Time
PAY0000078,LN00012,MEM0007,Nairobi,2024-03-15,2024-04-12,1008.48,1008.48,28,Late Payment
PAY0000079,LN00012,MEM0007,Nairobi,2024-04-15,2024-05-10,1008.48,1008.48,25,Late Payment
PAY0000080,LN00012,MEM0007,Nairobi,2024-05-15,2024-05-15,1008.48,1008.48,0,Paid on Time
PAY0000081,LN00012,MEM0007,Nairobi,2024-06-15,2024-06-16,1008.48,1008.48,1,Paid on Time
PAY0000082,LN00013,MEM0007,Nairobi,2024-02-11,2024-02-14,12133.06,12133.06,3,Paid on Time
PAY0000083,LN00013,MEM0007,Nairobi,2024-03-11,2024-03-14,12133.06,12133.06,3,Paid on Time
PAY0000084,LN00013,MEM0007,Nairobi,2024-04-11,2024-04-15,12133.06,12133.06,4,Paid on Time
PAY0000085,LN00013,MEM0007,Nairobi,2024-05-11,2024-05-14,12133.06,12133.06,3,Paid on Time
PAY0000086,LN00013,MEM0007,Nairobi,2024-06-11,2024-06-14,12133.06,12133.06,3,Paid on Time
PAY0000087,LN00013,MEM0007,Nairobi,2024-07-11,2024-07-15,12133.06,12133.06,4,Paid on Time
PAY0000088,LN00013,MEM0007,Nairobi,2024-08-11,2024-08-11,12133.06,12133.06,0,Paid on Time
PAY0000089,LN00013,MEM0007,Nairobi,2024-09-11,2024-09-11,12133.06,12133.06,0,Paid on Time
PAY0000090,LN00013,MEM0007,Nairobi,2024-10-11,2024-10-15,12133.06,12133.06,4,Paid on Time
PAY0000091,LN00013,MEM0007,Nairobi,2024-11-11,2024-11-14,12133.06,12133.06,3,Paid on Time
PAY0000092,LN00013,MEM0007,Nairobi,2024-12-11,2024-12-14,12133.06,12133.06,3,Paid on Time
PAY0000093,LN00014,MEM0008,Nairobi,2024-04-19,2024-04-24,9092.75,9092.75,5,Paid on Time
PAY0000094,LN00014,MEM0008,Nairobi,2024-05-19,2024-05-20,9092.75,9092.75,1,Paid on Time
PAY0000095,LN00014,MEM0008,Nairobi,2024-06-19,2024-06-24,9092.75,9092.75,5,Paid on Time
PAY0000096,LN00014,MEM0008,Nairobi,2024-07-19,2024-07-22,9092.75,9092.75,3,Paid on Time
PAY0000097,LN00014,MEM0008,Nairobi,2024-08-19,2024-08-22,9092.75,9092.75,3,Paid on Time
PAY0000098,LN00014,MEM0008,Nairobi,2024-09-19,2024-09-22,9092.75,9092.75,3,Paid on Time
PAY0000099,LN00015,MEM0009,Kisumu,2023-04-06,2023-04-12,14660.43,14660.43,6,Late Payment
PAY0000100,LN00015,MEM0009,Kisumu,2023-05-06,2023-05-09,14660.43,14660.43,3,Paid on Time
PAY0000101,LN00015,MEM0009,Kisumu,2023-06-06,2023-06-08,14660.43,14660.43,2,Paid on Time
PAY0000102,LN00015,MEM0009,Kisumu,2023-07-06,2023-07-07,14660.43,14660.43,1,Paid on Time
PAY0000103,LN00015,MEM0009,Kisumu,2023-08-06,2023-08-11,14660.43,14660.43,5,Paid on Time
PAY0000104,LN00015,MEM0009,Kisumu,2023-09-06,2023-09-07,14660.43,14660.43,1,Paid on Time
PAY0000105,LN00015,MEM0009,Kisumu,2023-10-06,2023-10-10,14660.43,14660.43,4,Paid on Time
PAY0000106,LN00015,MEM0009,Kisumu,2023-11-06,2023-11-09,14660.43,14660.43,3,Paid on Time
PAY0000107,LN00015,MEM0009,Kisumu,2023-12-06,2023-12-10,14660.43,14660.43,4,Paid on Time
PAY0000108,LN00015,MEM0009,Kisumu,2024-01-06,2024-01-09,14660.43,14660.43,3,Paid on Time
PAY0000109,LN00015,MEM0009,Kisumu,2024-02-06,2024-02-08,14660.43,14660.43,2,Paid on Time
PAY0000110,LN00015,MEM0009,Kisumu,2024-03-06,2024-03-09,14660.43,14660.43,3,Paid on Time
PAY0000111,LN00015,MEM0009,Kisumu,2024-04-06,2024-04-09,14660.43,14660.43,3,Paid on Time
PAY0000112,LN00015,MEM0009,Kisumu,2024-05-06,2024-05-10,14660.43,14660.43,4,Paid on Time
PAY0000113,LN00015,MEM0009,Kisumu,2024-06-06,2024-06-22,14660.43,7330.22,16,Partial Payment
PAY0000114,LN00015,MEM0009,Kisumu,2024-07-06,2024-07-16,14660.43,7330.22,10,Partial Payment
PAY0000115,LN00015,MEM0009,Kisumu,2024-08-06,2024-08-06,14660.43,14660.43,0,Paid on Time
PAY0000116,LN00015,MEM0009,Kisumu,2024-09-06,2024-09-09,14660.43,14660.43,3,Paid on Time
PAY0000117,LN00016,MEM0009,Kisumu,2023-08-21,2023-08-26,6347.77,6347.77,5,Paid on Time
PAY0000118,LN00016,MEM0009,Kisumu,2023-09-21,2023-09-26,6347.77,6347.77,5,Paid on Time
PAY0000119,LN00016,MEM0009,Kisumu,2023-10-21,2023-10-24,6347.77,6347.77,3,Paid on Time
PAY0000120,LN00016,MEM0009,Kisumu,2023-11-21,2023-11-29,6347.77,6347.77,8,Late Payment
PAY0000121,LN00016,MEM0009,Kisumu,2023-12-21,2023-12-21,6347.77,6347.77,0,Paid on Time
PAY0000122,LN00016,MEM0009,Kisumu,2024-01-21,2024-01-26,6347.77,6347.77,5,Paid on Time
PAY0000123,LN00017,MEM0010,Kisumu,2024-08-22,2024-08-22,11043.82,11043.82,0,Paid on Time
PAY0000124,LN00017,MEM0010,Kisumu,2024-09-22,2024-10-20,11043.82,11043.82,28,Late Payment
PAY0000125,LN00017,MEM0010,Kisumu,2024-10-22,2024-10-24,11043.82,11043.82,2,Paid on Time
PAY0000126,LN00017,MEM0010,Kisumu,2024-11-22,2024-11-23,11043.82,11043.82,1,Paid on Time
PAY0000127,LN00017,MEM0010,Kisumu,2024-12-22,2024-12-26,11043.82,11043.82,4,Paid on Time
PAY0000128,LN00018,MEM0010,Kisumu,2023-02-07,2023-02-12,299512.19,299512.19,5,Paid on Time
PAY0000129,LN00018,MEM0010,Kisumu,2023-03-07,2023-03-10,299512.19,299512.19,3,Paid on Time
PAY0000130,LN00018,MEM0010,Kisumu,2023-04-07,2023-04-07,299512.19,299512.19,0,Paid on Time
PAY0000131,LN00018,MEM0010,Kisumu,2023-05-07,2023-05-23,299512.19,149756.1,16,Partial Payment
PAY0000132,LN00018,MEM0010,Kisumu,2023-06-07,2023-06-12,299512.19,299512.19,5,Paid on Time
PAY0000133,LN00018,MEM0010,Kisumu,2023-07-07,2023-07-09,299512.19,299512.19,2,Paid on Time
PAY0000134,LN00019,MEM0012,Nakuru,2024-06-01,2024-06-06,12696.45,12696.45,5,Paid on Time
PAY0000135,LN00019,MEM0012,Nakuru,2024-07-01,2024-07-06,12696.45,12696.45,5,Paid on Time
PAY0000136,LN00019,MEM0012,Nakuru,2024-08-01,2024-08-06,12696.45,12696.45,5,Paid on Time
PAY0000137,LN00019,MEM0012,Nakuru,2024-09-01,2024-09-06,12696.45,12696.45,5,Paid on Time
PAY0000138,LN00019,MEM0012,Nakuru,2024-10-01,2024-10-03,12696.45,12696.45,2,Paid on Time
PAY0000139,LN00019,MEM0012,Nakuru,2024-11-01,2024-11-04,12696.45,12696.45,3,Paid on Time
PAY0000140,LN00019,MEM0012,Nakuru,2024-12-01,2024-12-04,12696.45,12696.45,3,Paid on Time
PAY0000141,LN00020,MEM0013,Nakuru,2023-09-08,2023-09-13,7377.14,7377.14,5,Paid on Time
PAY0000142,LN00020,MEM0013,Nakuru,2023-10-08,2023-10-12,7377.14,7377.14,4,Paid on Time
PAY0000143,LN00020,MEM0013,Nakuru,2023-11-08,2023-11-10,7377.14,7377.14,2,Paid on Time
PAY0000144,LN00020,MEM0013,Nakuru,2023-12-08,2023-12-09,7377.14,7377.14,1,Paid on Time
PAY0000145,LN00020,MEM0013,Nakuru,2024-01-08,2024-01-13,7377.14,7377.14,5,Paid on Time
PAY0000146,LN00020,MEM0013,Nakuru,2024-02-08,2024-02-11,7377.14,7377.14,3,Paid on Time
PAY0000147,LN00021,MEM0014,Kisumu,2023-03-09,2023-03-10,4332.4,4332.4,1,Paid on Time
PAY0000148,LN00021,MEM0014,Kisumu,2023-04-09,2023-04-12,4332.4,4332.4,3,Paid on Time
PAY0000149,LN00021,MEM0014,Kisumu,2023-05-09,2023-05-09,4332.4,4332.4,0,Paid on Time
PAY0000150,LN00021,MEM0014,Kisumu,2023-06-09,2023-06-13,4332.4,4332.4,4,Paid on Time
PAY0000151,LN00021,MEM0014,Kisumu,2023-07-09,2023-07-12,4332.4,4332.4,3,Paid on Time
PAY0000152,LN00021,MEM0014,Kisumu,2023-08-09,2023-08-09,4332.4,4332.4,0,Paid on Time
PAY0000153,LN00021,MEM0014,Kisumu,2023-09-09,2023-09-14,4332.4,4332.4,5,Paid on Time
PAY0000154,LN00021,MEM0014,Kisumu,2023-10-09,2023-10-10,4332.4,4332.4,1,Paid on Time
PAY0000155,LN00021,MEM0014,Kisumu,2023-11-09,2023-11-12,4332.4,4332.4,3,Paid on Time
PAY0000156,LN00021,MEM0014,Kisumu,2023-12-09,2023-12-09,4332.4,4332.4,0,Paid on Time
PAY0000157,LN00021,MEM0014,Kisumu,2024-01-09,2024-01-14,4332.4,4332.4,5,Paid on Time
PAY0000158,LN00021,MEM0014,Kisumu,2024-02-09,2024-02-11,4332.4,4332.4,2,Paid on Time
PAY0000159,LN00022,MEM0015,Nairobi,2023-10-05,2023-10-08,13690.97,13690.97,3,Paid on Time
PAY0000160,LN00022,MEM0015,Nairobi,2023-11-05,2023-11-06,13690.97,13690.97,1,Paid on Time
PAY0000161,LN00022,MEM0015,Nairobi,2023-12-05,2023-12-08,13690.97,13690.97,3,Paid on Time
PAY0000162,LN00022,MEM0015,Nairobi,2024-01-05,2024-01-09,13690.97,13690.97,4,Paid on Time
PAY0000163,LN00022,MEM0015,Nairobi,2024-02-05,2024-02-09,13690.97,13690.97,4,Paid on Time
PAY0000164,LN00022,MEM0015,Nairobi,2024-03-05,2024-03-06,13690.97,13690.97,1,Paid on Time
PAY0000165,LN00023,MEM0016,Mombasa,2023-11-03,2024-01-10,30195.96,15782.89,68,Partial Payment
PAY0000166,LN00023,MEM0016,Mombasa,2023-12-03,2024-02-18,30195.96,13773.3,77,Partial Payment
PAY0000167,LN00023,MEM0016,Mombasa,2024-01-03,2024-03-23,30195.96,14433.91,80,Partial Payment
PAY0000168,LN00023,MEM0016,Mombasa,2024-02-03,2024-04-14,30195.96,14023.6,71,Partial Payment
PAY0000169,LN00023,MEM0016,Mombasa,2024-03-03,2024-05-04,30195.96,18304.23,62,Partial Payment
PAY0000170,LN00023,MEM0016,Mombasa,2024-04-03,2024-06-09,30195.96,19546.87,67,Partial Payment
PAY0000171,LN00024,MEM0017,Kisumu,2023-04-08,2023-04-29,9692.38,9692.38,21,Late Payment
PAY0000172,LN00024,MEM0017,Kisumu,2023-05-08,2023-05-11,9692.38,9692.38,3,Paid on Time
PAY0000173,LN00024,MEM0017,Kisumu,2023-06-08,2023-06-10,9692.38,9692.38,2,Paid on Time
PAY0000174,LN00024,MEM0017,Kisumu,2023-07-08,2023-07-09,9692.38,9692.38,1,Paid on Time
PAY0000175,LN00024,MEM0017,Kisumu,2023-08-08,2023-08-12,9692.38,9692.38,4,Paid on Time
PAY0000176,LN00024,MEM0017,Kisumu,2023-09-08,2023-10-03,9692.38,9692.38,25,Late Payment
PAY0000177,LN00024,MEM0017,Kisumu,2023-10-08,2023-10-10,9692.38,9692.38,2,Paid on Time
PAY0000178,LN00024,MEM0017,Kisumu,2023-11-08,2023-11-11,9692.38,9692.38,3,Paid on Time
PAY0000179,LN00024,MEM0017,Kisumu,2023-12-08,2023-12-13,9692.38,9692.38,5,Paid on Time
PAY0000180,LN00024,MEM0017,Kisumu,2024-01-08,2024-01-12,9692.38,9692.38,4,Paid on Time
PAY0000181,LN00024,MEM0017,Kisumu,2024-02-08,2024-02-08,9692.38,9692.38,0,Paid on Time
PAY0000182,LN00024,MEM0017,Kisumu,2024-03-08,2024-03-13,9692.38,9692.38,5,Paid on Time
PAY0000183,LN00024,MEM0017,Kisumu,2024-04-08,2024-04-11,9692.38,9692.38,3,Paid on Time
PAY0000184,LN00024,MEM0017,Kisumu,2024-05-08,2024-05-13,9692.38,9692.38,5,Paid on Time
PAY0000185,LN00024,MEM0017,Kisumu,2024-06-08,2024-06-08,9692.38,9692.38,0,Paid on Time
PAY0000186,LN00024,MEM0017,Kisumu,2024-07-08,2024-07-12,9692.38,9692.38,4,Paid on Time
PAY0000187,LN00024,MEM0017,Kisumu,2024-08-08,2024-08-12,9692.38,9692.38,4,Paid on Time
PAY0000188,LN00024,MEM0017,Kisumu,2024-09-08,2024-09-08,9692.38,9692.38,0,Paid on Time
PAY0000189,LN00024,MEM0017,Kisumu,2024-10-08,2024-10-08,9692.38,9692.38,0,Paid on Time
PAY0000190,LN00024,MEM0017,Kisumu,2024-11-08,2024-11-12,9692.38,9692.38,4,Paid on Time
PAY0000191,LN00024,MEM0017,Kisumu,2024-12-08,2024-12-08,9692.38,9692.38,0,Paid on Time
PAY0000192,LN00025,MEM0018,Mombasa,2024-03-03,2024-03-07,8015.26,8015.26,4,Paid on Time
PAY0000193,LN00025,MEM0018,Mombasa,2024-04-03,2024-04-03,8015.26,8015.26,0,Paid on Time
PAY0000194,LN00025,MEM0018,Mombasa,2024-05-03,2024-05-08,8015.26,8015.26,5,Paid on Time
PAY0000195,LN00025,MEM0018,Mombasa,2024-06-03,2024-06-08,8015.26,8015.26,5,Paid on Time
PAY0000196,LN00025,MEM0018,Mombasa,2024-07-03,2024-07-04,8015.26,8015.26,1,Paid on Time
PAY0000197,LN00025,MEM0018,Mombasa,2024-08-03,2024-08-07,8015.26,8015.26,4,Paid on Time
PAY0000198,LN00025,MEM0018,Mombasa,2024-09-03,2024-09-05,8015.26,8015.26,2,Paid on Time
PAY0000199,LN00025,MEM0018,Mombasa,2024-10-03,2024-10-03,8015.26,8015.26,0,Paid on Time
PAY0000200,LN00025,MEM0018,Mombasa,2024-11-03,2024-11-08,8015.26,8015.26,5,Paid on Time
PAY0000201,LN00025,MEM0018,Mombasa,2024-12-03,2024-12-05,8015.26,8015.26,2,Paid on Time
PAY0000202,LN00026,MEM0019,Kisumu,2024-04-02,2024-04-23,176455.0,176455.0,21,Late Payment
PAY0000203,LN00026,MEM0019,Kisumu,2024-05-02,2024-05-03,176455.0,176455.0,1,Paid on Time
PAY0000204,LN00026,MEM0019,Kisumu,2024-06-02,2024-06-06,176455.0,176455.0,4,Paid on Time
PAY0000205,LN00026,MEM0019,Kisumu,2024-07-02,2024-07-03,176455.0,176455.0,1,Paid on Time
PAY0000206,LN00026,MEM0019,Kisumu,2024-08-02,2024-08-06,176455.0,176455.0,4,Paid on Time
PAY0000207,LN00026,MEM0019,Kisumu,2024-09-02,2024-09-06,176455.0,176455.0,4,Paid on Time
PAY0000208,LN00026,MEM0019,Kisumu,2024-10-02,2024-10-05,176455.0,176455.0,3,Paid on Time
PAY0000209,LN00026,MEM0019,Kisumu,2024-11-02,2024-11-05,176455.0,176455.0,3,Paid on Time
PAY0000210,LN00026,MEM0019,Kisumu,2024-12-02,2024-12-06,176455.0,176455.0,4,Paid on Time
PAY0000211,LN00027,MEM0020,Nairobi,2024-10-26,2024-12-30,16737.19,8336.75,65,Partial Payment
PAY0000212,LN00027,MEM0020,Nairobi,2024-11-26,2025-01-31,16737.19,10292.8,66,Partial Payment
PAY0000213,LN00027,MEM0020,Nairobi,2024-12-26,2025-02-28,16737.19,10553.41,64,Partial Payment
PAY0000214,LN00028,MEM0020,Nairobi,2024-04-20,2024-04-25,30368.51,30368.51,5,Paid on Time
PAY0000215,LN00028,MEM0020,Nairobi,2024-05-20,2024-05-21,30368.51,30368.51,1,Paid on Time
PAY0000216,LN00028,MEM0020,Nairobi,2024-06-20,2024-06-23,30368.51,30368.51,3,Paid on Time
PAY0000217,LN00028,MEM0020,Nairobi,2024-07-20,2024-07-21,30368.51,30368.51,1,Paid on Time
PAY0000218,LN00028,MEM0020,Nairobi,2024-08-20,2024-08-25,30368.51,30368.51,5,Paid on Time
PAY0000219,LN00028,MEM0020,Nairobi,2024-09-20,2024-09-23,30368.51,30368.51,3,Paid on Time
PAY0000220,LN00029,MEM0020,Nairobi,2024-02-25,2024-04-09,65944.44,44350.32,44,Late Payment
PAY0000221,LN00029,MEM0020,Nairobi,2024-03-25,2024-05-15,65944.44,41555.84,51,Late Payment
PAY0000222,LN00029,MEM0020,Nairobi,2024-04-25,2024-06-23,65944.44,52117.58,59,Late Payment
PAY0000223,LN00029,MEM0020,Nairobi,2024-05-25,2024-07-12,65944.44,49683.93,48,Late Payment
PAY0000224,LN00029,MEM0020,Nairobi,2024-06-25,2024-08-08,65944.44,57785.77,44,Late Payment
PAY0000225,LN00029,MEM0020,Nairobi,2024-07-25,2024-09-19,65944.44,43341.42,56,Late Payment
PAY0000226,LN00030,MEM0021,Mombasa,2023-10-12,2023-10-15,44265.05,44265.05,3,Paid on Time
PAY0000227,LN00030,MEM0021,Mombasa,2023-11-12,2023-11-13,44265.05,44265.05,1,Paid on Time
PAY0000228,LN00030,MEM0021,Mombasa,2023-12-12,2023-12-17,44265.05,44265.05,5,Paid on Time
PAY0000229,LN00030,MEM0021,Mombasa,2024-01-12,2024-02-01,44265.05,22132.53,20,Partial Payment
PAY0000230,LN00030,MEM0021,Mombasa,2024-02-12,2024-02-15,44265.05,44265.05,3,Paid on Time
PAY0000231,LN00030,MEM0021,Mombasa,2024-03-12,2024-03-29,44265.05,44265.05,17,Late Payment
PAY0000232,LN00030,MEM0021,Mombasa,2024-04-12,2024-04-14,44265.05,44265.05,2,Paid on Time
PAY0000233,LN00030,MEM0021,Mombasa,2024-05-12,2024-05-12,44265.05,44265.05,0,Paid on Time
PAY0000234,LN00030,MEM0021,Mombasa,2024-06-12,2024-06-15,44265.05,44265.05,3,Paid on Time
PAY0000235,LN00030,MEM0021,Mombasa,2024-07-12,2024-07-13,44265.05,44265.05,1,Paid on Time
PAY0000236,LN00030,MEM0021,Mombasa,2024-08-12,2024-08-12,44265.05,44265.05,0,Paid on Time
PAY0000237,LN00030,MEM0021,Mombasa,2024-09-12,2024-09-12,44265.05,44265.05,0,Paid on Time
PAY0000238,LN00031,MEM0022,Nakuru,2024-02-28,2024-02-29,48378.46,48378.46,1,Paid on Time
PAY0000239,LN00031,MEM0022,Nakuru,2024-03-28,2024-04-02,48378.46,48378.46,5,Paid on Time
PAY0000240,LN00031,MEM0022,Nakuru,2024-04-28,2024-05-02,48378.46,48378.46,4,Paid on Time
PAY0000241,LN00031,MEM0022,Nakuru,2024-05-28,2024-05-29,48378.46,48378.46,1,Paid on Time
PAY0000242,LN00031,MEM0022,Nakuru,2024-06-28,2024-07-03,48378.46,48378.46,5,Paid on Time
PAY0000243,LN00031,MEM0022,Nakuru,2024-07-28,2024-07-30,48378.46,48378.46,2,Paid on Time
PAY0000244,LN00031,MEM0022,Nakuru,2024-08-28,2024-08-30,48378.46,48378.46,2,Paid on Time
